Date : 2022-11-15 12:03:34
Directory : c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project
Total : 63 files,  360 codes, 7 comments, 68 blanks, all 435 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         61 |        360 |          1 |         67 |        428 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
| YAML     |          1 |         -1 |          6 |          1 |          6 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                  |         63 |        360 |          7 |         68 |        435 |
| assets                                                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| assets\jsons                                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| assets\jsons\localization                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| lib                                                                                                                                                                                |         61 |        360 |          1 |         67 |        428 |
| lib\apps                                                                                                                                                                           |         29 |        310 |          0 |         52 |        362 |
| lib\apps\main_petilla                                                                                                                                                              |         23 |        305 |          0 |         49 |        354 |
| lib\apps\main_petilla\petilla_main_service                                                                                                                                         |          1 |         -4 |          0 |          0 |         -4 |
| lib\apps\main_petilla\petilla_main_service\chat_service                                                                                                                            |          1 |         -4 |          0 |          0 |         -4 |
| lib\apps\main_petilla\petilla_main_view                                                                                                                                            |         21 |        300 |          0 |         48 |        348 |
| lib\apps\main_petilla\petilla_main_view\main_view                                                                                                                                  |         15 |        144 |         -1 |         25 |        168 |
| lib\apps\main_petilla\petilla_main_view\main_view\add_view                                                                                                                         |          6 |         11 |         -1 |          4 |         14 |
| lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view                                                                                                                |          2 |        260 |          4 |         28 |        292 |
| lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view_two                                                                                                            |          2 |        373 |          1 |         43 |        417 |
| lib\apps\main_petilla\petilla_main_view\main_view\favorites_view                                                                                                                   |          1 |        110 |          0 |         15 |        125 |
| lib\apps\main_petilla\petilla_main_view\main_view\petilla_home_view                                                                                                                |          2 |        389 |          0 |         33 |        422 |
