"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "HTML", "XML", "C++", "Swift", "Properties", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 13, 73
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\google-services.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 9, 1, 52
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\build.gradle", "Groovy", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\android\settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\jsons\il-ilce.json", "JSON", 0, 0, 0, 3401, 0, 0, 0, 0, 0, 0, 0, 3, 3404
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\jsons\localization\tr-TR.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 73
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\cat.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\dog.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 1, 24
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\fish.svg", "XML", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 1, 72
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\home.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\home_outline.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\language.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\onboarding_one.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\onboarding_three.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\onboarding_two.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\svg\rabbit.svg", "XML", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 1, 72
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
