"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\core\components\chat_widgets\user_chat.dart", "Dart", 0, -41, -1, -6, -48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\core\components\pet_widgets\large_pet_widget.dart", "Dart", 0, -198, -1, -24, -223
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\core\components\pet_widgets\normal_pet_widget.dart", "Dart", 0, -169, -1, -21, -191
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\main_petilla.dart", "Dart", 0, -90, 0, -13, -103
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\service\chat_service\chat_service.dart", "Dart", 0, -67, 0, -4, -71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\service\firebase_crud\crud_service.dart", "Dart", 0, -36, -1, -4, -41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\service\models\jsons\city_model.dart", "Dart", 0, -36, 0, -10, -46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\service\models\pet_model.dart", "Dart", 0, -32, 0, -2, -34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\service\storage_service.dart\storage_crud.dart", "Dart", 0, -21, 0, -5, -26
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\add_view.dart", "Dart", 0, -246, -4, -26, -276
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\add_view_two.dart", "Dart", 0, -352, -1, -41, -394
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\chat_select_view.dart", "Dart", 0, -110, 0, -14, -124
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\city_select_view.dart", "Dart", 0, -29, -1, -4, -34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\favorites_view.dart", "Dart", 0, -115, -2, -19, -136
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\ilce_select_view.dart", "Dart", 0, -33, -1, -8, -42
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\in_chat_view.dart", "Dart", 0, -181, 0, -21, -202
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\petilla_detail_view.dart", "Dart", 0, -191, 0, -30, -221
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\petilla_home_view.dart", "Dart", 0, -390, 0, -34, -424
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\view\petilla_insert_view.dart", "Dart", 0, -101, 0, -15, -116
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\viewmodel\add_view_model.dart", "Dart", 0, -16, 0, -2, -18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\viewmodel\add_view_two_view_model.dart", "Dart", 0, -54, 0, -2, -56
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\viewmodel\petilla_detail_view_model.dart", "Dart", 0, -19, 0, -2, -21
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\viewmodel\petilla_home_view_model.dart", "Dart", 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\viewmodel\petilla_insert_view_model.dart", "Dart", 0, 0, 0, -2, -2
