"filename", "language", "YAML", "Markdown", "Dart", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\README.md", "Markdown", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\jsons\lang\tr-TR.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\plus.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\profile.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\base\view\profile_view.dart", "Dart", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\button.dart", "Dart", 0, 0, -45, 0, 0, 0, -6, -51
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\buttons\auth_button.dart", "Dart", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\buttons\button.dart", "Dart", 0, 0, 45, 0, 0, 0, 6, 51
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\textfields\auth_textfield.dart", "Dart", 0, 0, 22, 0, 0, 1, 1, 24
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\app\router_contants.dart", "Dart", 0, 0, -24, 0, 0, 0, -1, -25
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\image\image_constants.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\string_constant\app_firestore_field_names.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\lang\locale_keys.g.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\theme\light_theme\light_theme.dart", "Dart", 0, 0, 2, 0, 0, 0, -2, 0
