Date : 2023-01-25 22:25:35
Directory : c:\Users\oguzk\Desktop\visual studio\patily\patily
Total : 55 files,  -577 codes, 0 comments, -98 blanks, all -675 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |          1 |         11 |          0 |          0 |         11 |
| XML      |          2 |          2 |          0 |          0 |          2 |
| Markdown |          1 |         -1 |          0 |          0 |         -1 |
| YAML     |          1 |         -3 |         -1 |         -1 |         -5 |
| Dart     |         50 |       -586 |          1 |        -97 |       -682 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |         55 |       -577 |          0 |        -98 |       -675 |
| . (Files)                                                                                                                                                         |          2 |         -4 |         -1 |         -1 |         -6 |
| assets                                                                                                                                                            |          3 |         13 |          0 |          0 |         13 |
| assets\jsons                                                                                                                                                      |          1 |         11 |          0 |          0 |         11 |
| assets\jsons\lang                                                                                                                                                 |          1 |         11 |          0 |          0 |         11 |
| assets\svg                                                                                                                                                        |          2 |          2 |          0 |          0 |          2 |
| lib                                                                                                                                                               |         50 |       -586 |          1 |        -97 |       -682 |
| lib\core                                                                                                                                                          |         11 |         87 |          1 |          6 |         94 |
| lib\core\base                                                                                                                                                     |          1 |         35 |          0 |          4 |         39 |
| lib\core\base\view                                                                                                                                                |          1 |         35 |          0 |          4 |         39 |
| lib\core\components                                                                                                                                               |          4 |         57 |          1 |          5 |         63 |
| lib\core\components (Files)                                                                                                                                       |          1 |        -45 |          0 |         -6 |        -51 |
| lib\core\components\buttons                                                                                                                                       |          2 |         80 |          0 |         10 |         90 |
| lib\core\components\textfields                                                                                                                                    |          1 |         22 |          1 |          1 |         24 |
| lib\core\constants                                                                                                                                                |          3 |        -19 |          0 |         -1 |        -20 |
| lib\core\constants\app                                                                                                                                            |          1 |        -24 |          0 |         -1 |        -25 |
| lib\core\constants\image                                                                                                                                          |          1 |          4 |          0 |          0 |          4 |
| lib\core\constants\string_constant                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| lib\core\init                                                                                                                                                     |          3 |         14 |          0 |         -2 |         12 |
| lib\core\init\lang                                                                                                                                                |          1 |         11 |          0 |          0 |         11 |
| lib\core\init\theme                                                                                                                                               |          2 |          3 |          0 |         -2 |          1 |
