Date : 2023-01-25 22:25:35
Directory : c:\Users\oguzk\Desktop\visual studio\patily\patily
Total : 170 files,  11454 codes, 274 comments, 1212 blanks, all 12940 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        129 |      7,181 |        170 |      1,101 |      8,452 |
| JSON       |          7 |      3,629 |          0 |          6 |      3,635 |
| XML        |         21 |        349 |         40 |         13 |        402 |
| Groovy     |          3 |        104 |          0 |         24 |        128 |
| YAML       |          2 |         57 |         47 |         29 |        133 |
| CSS        |          1 |         48 |          0 |          9 |         57 |
| HTML       |          1 |         41 |         16 |          7 |         64 |
| Markdown   |          1 |         19 |          0 |         17 |         36 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| JavaScript |          1 |          5 |          0 |          1 |          6 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |        170 |     11,454 |        274 |      1,212 |     12,940 |
| . (Files)                                                                                                                                                       |          3 |         76 |         47 |         46 |        169 |
| android                                                                                                                                                         |         13 |        245 |         36 |         33 |        314 |
| android (Files)                                                                                                                                                 |          3 |         39 |          0 |         10 |         49 |
| android\app                                                                                                                                                     |          9 |        201 |         35 |         22 |        258 |
| android\app (Files)                                                                                                                                             |          2 |        107 |          0 |         15 |        122 |
| android\app\src                                                                                                                                                 |          7 |         94 |         35 |          7 |        136 |
| android\app\src\debug                                                                                                                                           |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                                                            |          5 |         86 |         27 |          5 |        118 |
| android\app\src\main (Files)                                                                                                                                    |          1 |         47 |          9 |          1 |         57 |
| android\app\src\main\res                                                                                                                                        |          4 |         39 |         18 |          4 |         61 |
| android\app\src\main\res\drawable                                                                                                                               |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                                                           |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                                                                 |          1 |         12 |          9 |          1 |         22 |
| android\app\src\main\res\values-night                                                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                         |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                          |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                                          |         14 |      3,697 |          3 |          7 |      3,707 |
| assets\jsons                                                                                                                                                    |          2 |      3,510 |          0 |          3 |      3,513 |
| assets\jsons (Files)                                                                                                                                            |          1 |      3,401 |          0 |          3 |      3,404 |
| assets\jsons\lang                                                                                                                                               |          1 |        109 |          0 |          0 |        109 |
| assets\svg                                                                                                                                                      |         12 |        187 |          3 |          4 |        194 |
| ios                                                                                                                                                             |          7 |        126 |          2 |          7 |        135 |
| ios\Runner                                                                                                                                                      |          7 |        126 |          2 |          7 |        135 |
| ios\Runner (Files)                                                                                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                                                      |          3 |         45 |          0 |          2 |         47 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                                                            |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                 |          1 |         23 |          0 |          1 |         24 |
| ios\Runner\Base.lproj                                                                                                                                           |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                                                             |        128 |      7,169 |        159 |      1,095 |      8,423 |
| lib (Files)                                                                                                                                                     |          1 |         65 |          0 |          8 |         73 |
| lib\core                                                                                                                                                        |         44 |      1,183 |         25 |        178 |      1,386 |
| lib\core\base                                                                                                                                                   |          7 |        330 |          8 |         55 |        393 |
| lib\core\base\model                                                                                                                                             |          1 |          6 |          0 |          3 |          9 |
| lib\core\base\state                                                                                                                                             |          1 |          6 |          0 |          2 |          8 |
| lib\core\base\view                                                                                                                                              |          3 |        275 |          2 |         35 |        312 |
| lib\core\base\viewmodel                                                                                                                                         |          2 |         43 |          6 |         15 |         64 |
| lib\core\components                                                                                                                                             |          7 |        313 |          1 |         34 |        348 |
| lib\core\components (Files)                                                                                                                                     |          1 |         36 |          0 |          5 |         41 |
| lib\core\components\buttons                                                                                                                                     |          2 |         80 |          0 |         10 |         90 |
| lib\core\components\dialogs                                                                                                                                     |          2 |         33 |          0 |          5 |         38 |
| lib\core\components\textfields                                                                                                                                  |          2 |        164 |          1 |         14 |        179 |
| lib\core\constants                                                                                                                                              |         17 |        179 |          7 |         31 |        217 |
| lib\core\constants\app                                                                                                                                          |          2 |          3 |          1 |          4 |          8 |
| lib\core\constants\enums                                                                                                                                        |          3 |         18 |          3 |          6 |         27 |
| lib\core\constants\image                                                                                                                                        |          1 |         25 |          0 |          4 |         29 |
| lib\core\constants\other_constant                                                                                                                               |          1 |         36 |          0 |          2 |         38 |
| lib\core\constants\sizes_constant                                                                                                                               |          6 |         39 |          0 |          9 |         48 |
| lib\core\constants\string_constant                                                                                                                              |          4 |         58 |          3 |          6 |         67 |
| lib\core\extension                                                                                                                                              |          1 |          4 |          0 |          2 |          6 |
| lib\core\init                                                                                                                                                   |          8 |        255 |          8 |         35 |        298 |
| lib\core\init\cache                                                                                                                                             |          1 |         19 |          1 |          6 |         26 |
| lib\core\init\google_ads                                                                                                                                        |          1 |         33 |          0 |          6 |         39 |
| lib\core\init\lang                                                                                                                                              |          2 |        120 |          1 |          7 |        128 |
| lib\core\init\router                                                                                                                                            |          1 |          0 |          0 |          2 |          2 |
| lib\core\init\theme                                                                                                                                             |          3 |         83 |          6 |         14 |        103 |
| lib\core\init\theme (Files)                                                                                                                                     |          1 |          4 |          0 |          2 |          6 |
| lib\core\init\theme\light_theme                                                                                                                                 |          2 |         79 |          6 |         12 |         97 |
| lib\core\utility                                                                                                                                                |          4 |        102 |          1 |         21 |        124 |
| lib\core\utility\asset_utils                                                                                                                                    |          1 |         40 |          1 |          9 |         50 |
| lib\core\utility\report_utils                                                                                                                                   |          1 |         18 |          0 |          5 |         23 |
| lib\core\utility\router                                                                                                                                         |          1 |          0 |          0 |          2 |          2 |
| lib\core\utility\widget_utility                                                                                                                                 |          1 |         44 |          0 |          5 |         49 |
| lib\view                                                                                                                                                        |         83 |      5,921 |        134 |        909 |      6,964 |
| lib\view\auth                                                                                                                                                   |         10 |        657 |          9 |         91 |        757 |
| lib\view\auth\onboard                                                                                                                                           |          5 |        271 |          7 |         43 |        321 |
| lib\view\auth\onboard\view                                                                                                                                      |          4 |        257 |          6 |         40 |        303 |
| lib\view\auth\onboard\viewmodel                                                                                                                                 |          1 |         14 |          1 |          3 |         18 |
| lib\view\auth\service                                                                                                                                           |          1 |         40 |          0 |          6 |         46 |
| lib\view\auth\view                                                                                                                                              |          2 |        292 |          2 |         37 |        331 |
| lib\view\auth\viewmodel                                                                                                                                         |          2 |         54 |          0 |          5 |         59 |
