Date : 2023-03-02 13:31:42
Directory : c:\Users\oguzk\Documents\GitHub\Petilla
Total : 183 files,  12436 codes, 379 comments, 1486 blanks, all 14301 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        135 |      7,970 |        271 |      1,262 |      9,503 |
| JSON       |          7 |      3,649 |          0 |          6 |      3,655 |
| XML        |         28 |        517 |         44 |        127 |        688 |
| Groovy     |          3 |        106 |          0 |         24 |        130 |
| YAML       |          2 |         60 |         47 |         28 |        135 |
| CSS        |          1 |         48 |          0 |          9 |         57 |
| HTML       |          1 |         41 |         16 |          7 |         64 |
| Markdown   |          1 |         19 |          0 |         17 |         36 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| JavaScript |          1 |          5 |          0 |          1 |          6 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        183 |     12,436 |        379 |      1,486 |     14,301 |
| . (Files)                                                                                                                  |          3 |         79 |         47 |         45 |        171 |
| android                                                                                                                    |         13 |        247 |         36 |         33 |        316 |
| android (Files)                                                                                                            |          3 |         39 |          0 |         10 |         49 |
| android\app                                                                                                                |          9 |        203 |         35 |         22 |        260 |
| android\app (Files)                                                                                                        |          2 |        109 |          0 |         15 |        124 |
| android\app\src                                                                                                            |          7 |         94 |         35 |          7 |        136 |
| android\app\src\debug                                                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                       |          5 |         86 |         27 |          5 |        118 |
| android\app\src\main (Files)                                                                                               |          1 |         47 |          9 |          1 |         57 |
| android\app\src\main\res                                                                                                   |          4 |         39 |         18 |          4 |         61 |
| android\app\src\main\res\drawable                                                                                          |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                      |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                            |          1 |         12 |          9 |          1 |         22 |
| android\app\src\main\res\values-night                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                    |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                             |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                     |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                     |         21 |      3,885 |          7 |        121 |      4,013 |
| assets\jsons                                                                                                               |          2 |      3,530 |          0 |          3 |      3,533 |
| assets\jsons (Files)                                                                                                       |          1 |      3,401 |          0 |          3 |      3,404 |
| assets\jsons\lang                                                                                                          |          1 |        129 |          0 |          0 |        129 |
| assets\svg                                                                                                                 |         19 |        355 |          7 |        118 |        480 |
| ios                                                                                                                        |          7 |        126 |          2 |          7 |        135 |
| ios\Runner                                                                                                                 |          7 |        126 |          2 |          7 |        135 |
| ios\Runner (Files)                                                                                                         |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                 |          3 |         45 |          0 |          2 |         47 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                              |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                       |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                            |          1 |         23 |          0 |          1 |         24 |
| ios\Runner\Base.lproj                                                                                                      |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                        |        134 |      7,958 |        260 |      1,256 |      9,474 |
| lib (Files)                                                                                                                |          1 |         94 |          0 |          9 |        103 |
| lib\core                                                                                                                   |         46 |      1,488 |         65 |        247 |      1,800 |
| lib\core\base                                                                                                              |          7 |        327 |          8 |         58 |        393 |
| lib\core\base\model                                                                                                        |          1 |          6 |          0 |          3 |          9 |
| lib\core\base\state                                                                                                        |          1 |          6 |          0 |          2 |          8 |
| lib\core\base\view                                                                                                         |          3 |        274 |          2 |         38 |        314 |
| lib\core\base\viewmodel                                                                                                    |          2 |         41 |          6 |         15 |         62 |
| lib\core\components                                                                                                        |          9 |        486 |          1 |         54 |        541 |
| lib\core\components (Files)                                                                                                |          3 |        201 |          0 |         25 |        226 |
| lib\core\components\buttons                                                                                                |          2 |         80 |          0 |         10 |         90 |
| lib\core\components\dialogs                                                                                                |          2 |         33 |          0 |          5 |         38 |
| lib\core\components\textfields                                                                                             |          2 |        172 |          1 |         14 |        187 |
| lib\core\constants                                                                                                         |         16 |        156 |          8 |         28 |        192 |
| lib\core\constants\app                                                                                                     |          2 |          3 |          1 |          4 |          8 |
| lib\core\constants\enums                                                                                                   |          3 |         18 |          3 |          6 |         27 |
| lib\core\constants\other_constant                                                                                          |          1 |         36 |          0 |          2 |         38 |
| lib\core\constants\sizes_constant                                                                                          |          6 |         39 |          0 |          9 |         48 |
| lib\core\constants\string_constant                                                                                         |          4 |         60 |          4 |          7 |         71 |
| lib\core\extension                                                                                                         |          1 |          4 |          0 |          2 |          6 |
| lib\core\gen                                                                                                               |          1 |        139 |         39 |         49 |        227 |
| lib\core\init                                                                                                              |          8 |        274 |          8 |         35 |        317 |
| lib\core\init\cache                                                                                                        |          1 |         19 |          1 |          6 |         26 |
| lib\core\init\google_ads                                                                                                   |          1 |         33 |          0 |          6 |         39 |
| lib\core\init\lang                                                                                                         |          2 |        139 |          1 |          7 |        147 |
| lib\core\init\router                                                                                                       |          1 |          0 |          0 |          2 |          2 |
| lib\core\init\theme                                                                                                        |          3 |         83 |          6 |         14 |        103 |
| lib\core\init\theme (Files)                                                                                                |          1 |          4 |          0 |          2 |          6 |
| lib\core\init\theme\light_theme                                                                                            |          2 |         79 |          6 |         12 |         97 |
| lib\core\utility                                                                                                           |          4 |        102 |          1 |         21 |        124 |
